"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72349513987","2011-02-02","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","   8.9","24","   2.6","24","1032.9","17","992.6","24","  8.8","24"," 10.0","24"," 18.1"," 22.9","  16.0"," ","   1.0"," "," 0.61","G","999.9","101000"
"72349513987","2011-02-03","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","   2.8","24","  -4.9","24","1037.9","24","999.5","24","  9.7","24","  1.3","24","  5.1","999.9","  19.0"," "," -11.0"," "," 0.00","G","999.9","000000"
"72349513987","2011-02-04","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  12.2","24","   5.3","24","1027.4","21","989.0","24","  6.4","24","  1.0","24","  5.1","999.9","  21.9"," ","  -2.0"," "," 0.00","G","999.9","101000"
"72349513987","2011-02-05","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  23.8","24","  18.2","24","1008.7","17","974.3","24","  6.4","24","  6.3","24"," 11.1","999.9","  39.9"," ","  14.0"," "," 0.09","G","999.9","001000"
"72349513987","2011-02-06","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  34.1","24","  27.3","24","1011.6","23","975.7","24","  9.1","24","  5.8","24","  9.9","999.9","  37.9"," ","  26.1"," "," 0.01","G","999.9","000000"
"72349513987","2011-02-07","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  31.0","24","  24.7","24","1021.2","19","984.8","24","  7.5","24"," 10.5","23"," 15.0","999.9","  35.6","*","  27.0","*"," 0.00","G","999.9","001000"
"72349513987","2011-02-08","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  15.4","24","   8.3","24","1027.6","24","990.4","24","  9.3","24","  6.6","24"," 12.0"," 19.0","  25.0","*","  10.0","*"," 0.00","G","999.9","001000"
"72349513987","2011-02-09","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  10.8","24","   5.8","24","1029.5","18","991.7","24","  4.9","24","  9.5","24"," 14.0"," 22.0","  16.0"," ","   8.1"," "," 0.02","G","999.9","101000"
"72349513987","2011-02-10","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","   7.0","24","  -3.3","24","1028.4","24","990.5","24","  9.6","24","  5.5","24"," 15.0","999.9","  24.1"," ","  -9.0"," "," 0.06","G","999.9","000000"
"72349513987","2011-02-11","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  23.0","24","   5.8","24","1023.0","24","985.9","24"," 10.0","24"," 10.4","24"," 15.9"," 22.0","  37.9"," ","   9.0"," "," 0.00","G","999.9","000000"
"72349513987","2011-02-12","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  34.1","24","  20.3","24","1025.7","24","989.1","24"," 10.0","24","  9.5","24"," 17.1"," 22.0","  48.9"," ","  19.0"," "," 0.00","G","999.9","000000"
"72349513987","2011-02-13","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  45.7","24","  24.5","24","1018.2","24","982.4","24"," 10.0","24"," 11.8","24"," 15.0","999.9","  53.1"," ","  39.9"," "," 0.00","G","999.9","000000"
"72349513987","2011-02-14","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  44.0","24","  28.1","24","1022.0","24","986.1","24"," 10.0","24","  5.6","24"," 14.0"," 26.0","  51.1"," ","  32.0"," "," 0.00","G","999.9","000000"
"72349513987","2011-02-15","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  48.7","24","  34.6","24","1019.4","23","983.5","24"," 10.0","24","  9.9","24"," 15.9"," 22.0","  62.1"," ","  39.9"," "," 0.00","G","999.9","000000"
"72349513987","2011-02-16","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  54.7","24","  49.4","24","1013.9","19","978.5","24","  8.0","24"," 10.0","24"," 19.0"," 31.1","  66.9"," ","  46.0"," "," 0.00","G","999.9","100000"
"72349513987","2011-02-17","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  64.5","24","  53.8","24","1007.3","21","972.6","24"," 10.0","24"," 20.7","24"," 28.9"," 41.0","  73.9"," ","  59.0"," "," 0.00","G","999.9","000000"
"72349513987","2011-02-18","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  61.1","24","  39.5","24","1017.4","24","982.3","24"," 10.0","24","  8.7","24"," 15.0"," 20.0","  69.1"," ","  48.9"," "," 0.00","G","999.9","000000"
"72349513987","2011-02-19","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  61.0","24","  42.1","24","1019.6","23","984.4","24"," 10.0","24","  8.2","24"," 14.0"," 19.0","  75.0"," ","  52.0"," "," 0.00","G","999.9","000000"
"72349513987","2011-02-20","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  60.0","24","  50.6","24","1010.0","23","974.8","24"," 10.0","24"," 14.5","24"," 22.9"," 33.0","  66.0"," ","  52.0"," "," 0.00","G","999.9","000000"
"72349513987","2011-02-21","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  46.8","24","  41.0","24","1007.7","21","972.6","24","  8.2","24"," 10.9","24"," 15.9"," 24.1","  64.9"," ","  32.0"," "," 0.07","G","999.9","010000"
"72349513987","2011-02-22","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  32.5","24","  18.0","24","1021.5","24","985.0","24"," 10.0","24","  5.1","24","  8.0","999.9","  48.0"," ","  21.0"," "," 0.00","I","999.9","000000"
"72349513987","2011-02-23","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  52.1","24","  34.1","24","1014.9","24","979.3","24"," 10.0","24","  9.7","24"," 19.0"," 26.0","  70.0"," ","  41.0"," "," 0.00","G","999.9","010000"
"72349513987","2011-02-24","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  50.1","24","  46.5","24","1009.2","16","974.2","24","  6.8","24","  8.9","24"," 14.0"," 24.1","  63.0"," ","  39.0"," "," 0.13","G","999.9","010010"
